City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Severo-Yeniseyskiy,75,RU,1595986063,71,60.37,93.04,59.38,2.39
Coyhaique,74,CL,1595985896,74,-45.58,-72.07,35.6,5.82
Berlevåg,34,NO,1595986063,82,70.86,29.09,56.91,9.73
Mahibadhoo,99,MV,1595986039,75,3.78,72.97,83.07,15.57
Hermanus,0,ZA,1595985864,75,-34.42,19.23,52.47,6.13
Zaraza,100,VE,1595986063,96,9.35,-65.32,74.98,4.0
Saint-Pierre,92,RE,1595985857,78,-21.34,55.48,71.6,16.11
Faanui,100,PF,1595985880,72,-16.48,-151.75,79.45,18.12
Puerto Ayora,78,EC,1595985861,94,-0.74,-90.35,66.99,9.24
Pisco,90,PE,1595985867,77,-13.7,-76.22,62.6,5.82
Bluff,100,NZ,1595985856,70,-46.6,168.33,48.11,7.54
Tiksi,100,RU,1595985857,79,71.69,128.87,44.17,9.86
Laguna,1,US,1595985685,28,38.42,-121.42,99.0,8.05
Chokurdakh,92,RU,1595985863,63,70.63,147.92,48.81,11.16
Rawson,0,AR,1595985884,64,-43.3,-65.1,43.25,8.97
Churapcha,100,RU,1595986063,53,62.0,132.43,66.54,7.05
Aklavik,90,CA,1595985872,100,68.22,-135.01,53.6,10.29
Arraial do Cabo,0,BR,1595985858,78,-22.97,-42.03,73.4,10.29
Esperantinópolis,0,BR,1595986064,66,-4.87,-44.71,73.85,0.69
Christchurch,100,NZ,1595985601,87,-43.53,172.63,52.0,16.11
Port Elizabeth,35,ZA,1595985841,87,-33.92,25.57,55.4,10.29
Port Augusta,0,AU,1595985876,48,-32.5,137.77,60.8,9.17
Sitka,75,US,1595985865,77,57.05,-135.33,60.8,10.29
Kruisfontein,62,ZA,1595985874,86,-34.0,24.73,55.99,1.01
Juneau,75,US,1595985888,55,58.3,-134.42,64.4,3.36
Paamiut,100,GL,1595985869,97,61.99,-49.67,46.71,5.35
Tougue,89,GN,1595986064,96,11.47,-11.6,67.26,2.95
Monrovia,98,LR,1595985896,79,6.3,-10.8,76.14,6.98
Alofi,75,NU,1595985884,88,-19.06,-169.92,71.6,23.04
Westport,90,US,1595985849,51,41.14,-73.36,86.0,6.93
Al Bardīyah,0,LY,1595986064,73,31.76,25.09,74.88,10.96
Pacific Grove,1,US,1595985861,72,36.62,-121.92,64.4,10.29
Labuhan,100,ID,1595985882,73,-6.88,112.21,76.75,10.63
Saint Anthony,20,US,1595985856,47,45.02,-93.22,80.6,6.93
Varhaug,100,NO,1595986065,97,58.61,5.65,55.0,1.01
Dikson,100,RU,1595985864,80,73.51,80.55,45.97,14.34
Butaritari,100,KI,1595985860,79,3.07,172.79,83.26,18.84
Çorum Province,0,TR,1595986065,95,40.5,34.75,58.01,1.99
Sharjah city,61,AE,1595986063,46,25.36,55.4,95.0,4.7
Salalah,75,OM,1595985860,94,17.02,54.09,80.6,6.93
Jurm,0,AF,1595986065,35,36.86,70.83,65.14,0.87
Tautira,75,PF,1595985889,65,-17.73,-149.15,82.4,19.46
Kallithea,0,GR,1595986065,42,37.95,23.7,82.99,13.87
Norman Wells,90,CA,1595985891,77,65.28,-126.83,62.6,11.41
Timmins,75,CA,1595985665,100,48.47,-81.33,60.8,3.36
Hilo,90,US,1595985759,69,19.73,-155.09,80.6,12.75
Senneterre,75,CA,1595986065,93,48.38,-77.23,62.6,5.82
East London,0,ZA,1595985865,69,-33.02,27.91,61.75,12.46
Brisbane,20,AU,1595986043,48,-27.47,153.03,66.2,11.41
Baláo,12,EC,1595986065,86,-2.92,-79.82,70.5,7.25
Orsha,50,BY,1595986066,94,54.52,30.41,62.62,7.25
Doaba,0,PK,1595985843,52,33.42,70.74,85.21,5.59
Togur,73,RU,1595986066,67,58.36,82.83,55.81,6.82
Frankenberg,20,DE,1595986066,76,51.07,8.8,55.4,5.82
Srandakan,84,ID,1595986066,70,-7.94,110.25,78.3,9.75
Khatanga,0,RU,1595985864,49,71.97,102.5,61.57,5.19
Vaini,20,TO,1595985856,60,-21.2,-175.2,73.4,20.8
Cabatuan,100,PH,1595986066,77,10.88,122.49,82.49,3.04
Warmbad,0,NA,1595986066,60,-28.45,18.73,53.76,4.41
Río Gallegos,87,AR,1595985887,86,-51.62,-69.22,33.8,5.82
Upernavik,100,GL,1595985871,89,72.79,-56.15,43.45,9.53
Provideniya,90,RU,1595985859,66,64.38,-173.3,51.8,8.95
Gravdal,0,NO,1595985883,72,68.12,13.5,59.16,11.25
Husavik,90,IS,1595985872,81,66.04,-17.34,48.2,2.24
Riberalta,58,BO,1595986066,55,-10.98,-66.1,79.3,1.07
Raudeberg,87,NO,1595986066,93,61.99,5.14,57.0,3.36
Botwood,75,CA,1595985813,88,49.15,-55.35,57.99,1.01
Auki,96,SB,1595986067,74,-8.77,160.7,84.51,4.61
Namatanai,51,PG,1595986067,69,-3.67,152.43,84.51,4.09
São Gabriel da Cachoeira,5,BR,1595986020,96,-0.13,-67.09,73.36,1.77
New Norfolk,100,AU,1595985859,92,-42.78,147.06,46.99,3.2
Thompson,20,CA,1595985868,56,55.74,-97.86,69.8,5.82
Wajir,29,KE,1595985857,81,1.75,40.06,71.73,9.13
Saskylakh,0,RU,1595985860,57,71.92,114.08,54.66,2.98
Megion,90,RU,1595986067,100,61.03,76.11,50.0,3.0
Tahe,100,CN,1595986067,49,52.33,124.73,82.54,6.02
Wuzhou,19,CN,1595986067,75,23.48,111.32,84.7,2.35
Ancud,67,CL,1595985858,100,-41.87,-73.82,39.0,3.36
Geraldton,0,AU,1595985857,76,-28.77,114.6,57.2,11.41
Swan River,0,CA,1595986067,76,52.11,-101.27,71.15,5.93
Atar,10,MR,1595985874,36,20.52,-13.05,86.97,16.26
Severnyy,38,RU,1595986067,52,50.68,36.55,69.8,3.85
Cherskiy,9,RU,1595985871,52,68.75,161.3,51.12,13.18
Naze,20,JP,1595986041,84,28.37,129.48,87.8,8.05
Samarai,34,PG,1595986015,87,-10.62,150.67,78.58,16.17
Los Llanos de Aridane,90,ES,1595985886,69,28.66,-17.92,77.0,18.34
Castro,87,BR,1595985863,78,-24.79,-50.01,60.85,3.51
Mahébourg,20,MU,1595985868,83,-20.41,57.7,69.8,4.7
Barstow,1,US,1595985832,5,34.9,-117.02,107.6,5.82
Dicabisagan,100,PH,1595986068,78,17.08,122.42,82.4,7.7
Bredasdorp,0,ZA,1595985856,93,-34.53,20.04,42.8,3.36
Tsabong,0,BW,1595986068,46,-26.02,22.4,49.96,10.63
Yellowknife,20,CA,1595985857,38,62.46,-114.35,73.4,12.75
Soroca,0,MD,1595986068,77,48.16,28.3,67.32,2.68
George Town,20,MY,1595985857,83,5.41,100.34,80.6,7.34
Airai,82,TL,1595986009,53,-8.93,125.41,66.72,4.23
Ixtapa,90,MX,1595986026,70,20.7,-105.2,86.0,8.05
Nantucket,75,US,1595985988,94,41.28,-70.1,73.99,9.17
Keffi,20,NG,1595986068,83,8.85,7.87,77.0,2.24
Kanye,0,BW,1595986068,84,-24.97,25.33,41.13,6.31
Sambava,57,MG,1595986024,86,-14.27,50.17,72.95,12.01
Nísia Floresta,20,BR,1595986069,88,-6.09,-35.21,71.6,5.82
Aloleng,99,PH,1595986001,69,16.13,119.78,84.45,1.21
Acaponeta,100,MX,1595986069,70,22.5,-105.36,81.27,2.46
Lubango,0,AO,1595986069,48,-14.92,13.49,53.92,2.42
Makakilo City,40,US,1595985895,45,21.35,-158.09,87.8,10.29
Lagoa,10,PT,1595985891,90,39.05,-27.98,73.24,13.78
Mount Gambier,75,AU,1595985881,100,-37.83,140.77,46.4,10.29
Shache,46,CN,1595986069,23,38.42,77.24,78.12,7.02
Fortuna,40,US,1595985880,93,40.6,-124.16,59.0,11.41
Dordrecht,0,NL,1595986069,68,51.81,4.67,61.0,4.0
Romny,0,UA,1595986069,78,50.75,33.47,64.76,4.23
Talara,5,PE,1595986069,89,-4.58,-81.27,61.23,13.82
Alice Springs,0,AU,1595985708,38,-23.7,133.88,59.0,8.05
Snezhnogorsk,0,RU,1595986069,100,69.19,33.25,48.2,2.24
Sinnamary,1,GF,1595985885,85,5.38,-52.95,79.68,13.18
Sioux Lookout,75,CA,1595985777,64,50.1,-91.92,69.8,9.17
Tottori-shi,75,JP,1595985857,94,35.5,134.23,78.8,4.7
Port Moresby,90,PG,1595985862,100,-9.44,147.18,78.8,17.22
San Cristobal,0,VE,1595985862,89,7.77,-72.22,67.08,1.83
Harper,100,LR,1595986070,83,4.38,-7.72,75.2,8.08
Hithadhoo,100,MV,1595985665,77,-0.6,73.08,82.62,12.41
Kavaratti,100,IN,1595985862,79,10.57,72.64,81.55,18.9
Vawkavysk,100,BY,1595986070,88,53.16,24.45,65.48,10.25
Tateyama,75,JP,1595986024,100,34.98,139.87,75.0,10.29
Beidao,100,CN,1595985920,50,34.57,105.89,78.69,5.53
Prince Rupert,1,CA,1595986070,82,54.32,-130.32,59.0,6.93
Valparaíso,0,CL,1595985774,81,-33.04,-71.63,53.01,12.01
Narsaq,100,GL,1595986017,76,60.92,-46.05,48.2,3.36
Linköping,0,SE,1595985856,100,58.41,15.62,52.0,6.93
Bengkulu,4,ID,1595985871,85,-3.8,102.27,76.33,3.42
Pevek,30,RU,1595985863,86,69.7,170.31,35.96,10.18
Olenegorsk,0,RU,1595986070,83,68.15,33.3,55.13,1.63
Avarua,64,CK,1595985843,88,-21.21,-159.78,71.6,5.82
Fairbanks,90,US,1595985602,77,64.84,-147.72,60.8,6.93
Broken Hill,0,AU,1595986014,54,-31.95,141.43,55.4,6.29
Beyneu,0,KZ,1595986071,41,45.32,55.2,69.91,10.16
Wana,0,PK,1595985843,43,32.3,69.57,81.88,2.37
Camabatela,6,AO,1595986071,89,-8.19,15.38,54.46,2.48
Meulaboh,100,ID,1595985878,85,4.14,96.13,75.29,4.38
Gamba,98,GA,1595986030,77,-2.65,10.0,73.33,8.41
Kaitong,100,CN,1595986071,57,44.81,123.15,80.91,12.01
Vila Franca do Campo,40,PT,1595986022,100,37.72,-25.43,71.6,5.82
Kavieng,23,PG,1595985784,64,-2.57,150.8,85.48,8.23
Kamenskiy,0,RU,1595986071,59,50.89,45.49,64.02,2.1
Mchinji,5,MW,1595986071,98,-13.8,32.88,50.95,3.44
Leeton,90,AU,1595986071,100,-34.57,146.4,48.2,5.82
Sarkand,12,KZ,1595986071,31,45.41,79.92,74.17,10.16
Port Hawkesbury,90,CA,1595986072,100,45.62,-61.35,66.99,8.05
Gunjur,75,GM,1595986072,100,13.2,-16.73,75.2,8.05
Vao,100,NC,1595986072,80,-22.67,167.48,71.33,30.15
Longyearbyen,95,SJ,1595985866,81,78.22,15.64,51.8,11.41
Saint-Philippe,60,RE,1595985857,78,-21.36,55.77,71.6,16.11
Griffith,1,US,1595985843,61,41.53,-87.42,82.4,6.93
Bathsheba,75,BB,1595985863,94,13.22,-59.52,77.0,9.17
Kaduna,100,NG,1595986072,93,10.52,7.44,70.52,4.76
Makkah al Mukarramah,2,SA,1595985937,58,21.43,39.83,83.64,3.06
Iquique,90,CL,1595985978,72,-20.22,-70.14,59.0,3.36
Nouadhibou,75,MR,1595985891,88,20.93,-17.03,71.6,18.34
Pochutla,100,MX,1595986072,87,15.74,-96.47,77.61,3.33
Kargasok,25,RU,1595985859,65,59.06,80.86,55.53,3.36
Nizhnevartovsk,90,RU,1595986072,100,60.93,76.55,50.0,1.7
West Plains,1,US,1595986072,74,36.73,-91.85,80.6,3.36
Koslan,100,RU,1595986072,89,63.46,48.9,58.21,3.44
Yangi Marg`ilon,75,UZ,1595985891,50,40.43,71.72,77.0,9.17
Batticaloa,100,LK,1595986073,77,7.71,81.69,78.53,2.8
Trofors,99,NO,1595986073,59,65.53,13.41,64.4,10.29
Puerto del Rosario,90,ES,1595986073,78,28.5,-13.86,73.4,18.34
Bobcaygeon,1,CA,1595986073,82,44.55,-78.54,71.01,2.24
Wajima,75,JP,1595986073,94,37.4,136.9,73.4,5.82
Korhogo,100,CI,1595986073,95,9.45,-5.63,70.92,5.48
Hay River,40,CA,1595985886,38,60.82,-115.8,73.4,5.82
Las Margaritas,99,MX,1595986073,90,16.32,-91.98,63.63,6.85
Tual,95,ID,1595986073,80,-5.67,132.75,78.4,23.26
Doka,100,SD,1595986073,85,13.52,35.77,71.42,10.22
Semporna,20,MY,1595986073,83,4.48,118.61,84.2,3.36
Sur,0,OM,1595986013,63,22.57,59.53,87.28,5.99
Mayo,75,US,1595985868,70,38.89,-76.51,86.0,3.36
Pemba,20,MZ,1595986073,88,-12.97,40.52,68.0,9.17
Klaksvík,100,FO,1595985857,93,62.23,-6.59,46.4,18.34
Kahului,40,US,1595985718,45,20.89,-156.47,87.8,24.16
Fuzhou,40,CN,1595985993,66,26.06,119.31,89.6,11.18
Great Yarmouth,0,GB,1595986073,89,52.61,1.73,53.01,14.45
Sisimiut,0,GL,1595985894,81,66.94,-53.67,45.34,1.88
Vostok,81,RU,1595985892,80,46.49,135.88,72.97,4.65
Sveio,69,NO,1595986074,87,59.54,5.35,57.0,16.11
Kaura Namoda,45,NG,1595986074,77,12.59,6.58,76.66,7.56
Belyy Yar,0,RU,1595986037,82,53.6,91.39,62.6,1.99
Coruripe,18,BR,1595986074,87,-10.13,-36.18,73.15,10.67
Kasongo-Lunda,0,CD,1595986074,39,-6.47,16.82,65.82,1.34
Praia,75,CV,1595985868,83,14.92,-23.51,80.6,6.93
Beloha,0,MG,1595986022,87,-25.17,45.05,60.33,6.93
Hūn,0,LY,1595985885,74,29.13,15.95,71.8,3.29
Tezu,100,IN,1595986074,87,27.92,96.17,75.02,2.64
Evensk,100,RU,1595985890,94,61.95,159.23,52.81,10.45
Micheweni,73,TZ,1595986074,81,-4.97,39.83,76.12,13.96
Urucará,0,BR,1595986074,55,-2.54,-57.76,76.86,1.86
Tessalit,0,ML,1595985872,28,20.2,1.01,92.39,9.26
Būkān,0,IR,1595986074,53,36.52,46.21,68.7,1.21
Vila,3,PT,1595986021,88,42.03,-8.16,69.01,3.36
Corner Brook,75,CA,1595986075,87,48.97,-57.95,66.2,11.41
Mnogovershinnyy,0,RU,1595986075,60,53.94,139.92,79.65,6.24
Ponnāni,75,IN,1595986075,94,10.77,75.93,75.2,2.24
Lüderitz,0,NA,1595985881,82,-26.65,15.16,55.4,9.17
Sironj,100,IN,1595986075,75,24.1,77.7,81.27,9.44
Olinda,40,BR,1595986075,83,-8.01,-34.86,77.0,6.93
Guerrero Negro,37,MX,1595985869,72,27.98,-114.06,70.99,19.48
Hong Kong,20,HK,1595985693,70,22.29,114.16,90.0,4.7
Willowmore,0,ZA,1595986075,90,-33.29,23.49,41.79,1.79
Talnakh,100,RU,1595985865,71,69.49,88.4,53.6,15.66
Carballo,90,ES,1595985864,82,43.21,-8.69,64.4,6.93
Vestmannaeyjar,100,IS,1595985861,93,63.44,-20.27,51.84,5.61
Buala,100,SB,1595985904,66,-8.14,159.59,86.36,4.76
Jinxi,95,CN,1595986075,80,30.43,116.29,82.15,4.56
Eyl,0,SO,1595986075,73,7.98,49.82,78.93,17.34
Yanam,20,IN,1595986075,74,16.73,82.22,80.6,5.82
Dossor,0,KZ,1595986075,35,47.53,52.98,73.0,8.41
Sobolevo,91,RU,1595985874,94,54.43,31.9,62.64,6.87
Walvis Bay,0,NA,1595986076,100,-22.96,14.51,54.0,3.36
Gijang,90,KR,1595986076,83,35.24,129.21,80.6,3.36
Halifax,20,CA,1595986009,83,44.65,-63.57,73.99,2.24
Aykhal,90,RU,1595985870,66,66.0,111.5,51.8,4.47
Truth or Consequences,20,US,1595985995,33,33.13,-107.25,87.8,8.05
Rocha,0,UY,1595985877,80,-34.48,-54.33,37.58,6.53
Hasaki,75,JP,1595985857,88,35.73,140.83,73.0,14.99
Carnarvon,0,AU,1595985671,68,-24.87,113.63,64.4,12.75
Haapiti,75,PF,1595986076,65,-17.57,-149.87,82.4,19.46
Ola,95,RU,1595986025,85,59.58,151.28,59.23,7.7
Nemenčinė,75,LT,1595986076,82,54.85,25.48,66.99,2.24
Assiut,0,EG,1595985865,41,27.18,31.18,77.0,6.93
Nguru,100,NG,1595986076,64,12.88,10.45,81.84,11.45
Nemuro,75,JP,1595986076,93,43.32,145.57,60.8,1.12
Gawler,0,AU,1595986076,68,-34.6,138.73,54.0,5.01
Grand Baie,1,MU,1595986076,85,-20.02,57.58,66.0,1.99
Den Helder,75,NL,1595985897,67,52.96,4.76,62.01,18.34
Lar,100,IN,1595986077,83,26.2,83.97,81.46,4.29
Mthatha,0,ZA,1595986077,46,-31.59,28.78,50.74,3.74
Adrar,0,MR,1595985859,42,20.5,-10.07,89.82,25.32
Elizabeth City,2,US,1595985891,80,36.29,-76.25,79.0,1.99
Ust-Nera,81,RU,1595985888,43,64.57,143.2,60.12,6.55
Chapleau,75,CA,1595986077,68,47.84,-83.4,64.4,4.7
Diffa,100,NE,1595986034,55,13.32,12.61,84.97,11.68
Petrozavodsk,100,RU,1595986077,93,61.78,34.35,62.6,6.71
Tomatlán,100,MX,1595986077,72,19.93,-105.25,82.56,2.98
Havelock,75,US,1595985858,78,34.88,-76.9,84.99,5.82
Hanzhong,100,CN,1595986077,83,33.07,107.03,75.22,0.65
Knysna,68,ZA,1595986077,93,-34.04,23.05,53.6,5.82
Bailén,0,ES,1595986077,32,38.1,-3.78,84.0,3.51
Mossendjo,2,CG,1595986077,93,-2.95,12.73,64.17,3.02
Ostrovnoy,0,RU,1595985869,86,68.05,39.51,52.45,5.88
Iqaluit,75,CA,1595985862,59,63.75,-68.51,64.4,10.29
Uribia,2,CO,1595986078,71,11.71,-72.27,83.3,13.78
Kenai,1,US,1595986078,56,60.55,-151.26,71.6,8.05
Nyurba,100,RU,1595986078,65,63.28,118.33,56.48,9.53
Dalvik,90,IS,1595986078,81,65.97,-18.53,48.2,2.24
Ilo,34,PE,1595986063,76,-17.64,-71.34,57.47,2.48
Santiago del Estero,0,AR,1595985874,45,-27.8,-64.26,49.84,6.55
Maudaha,100,IN,1595986078,81,25.68,80.12,82.78,1.07
Eskişehir,0,TR,1595986050,77,39.78,30.52,62.6,2.24
Vanimo,18,PG,1595986028,69,-2.67,141.3,84.76,5.46
Athabasca,5,CA,1595986078,72,54.72,-113.29,79.21,5.12
Santa Marta,37,CO,1595985868,86,11.24,-74.2,80.01,14.5
Arona,0,ES,1595986078,78,28.1,-16.68,73.0,18.34
Biak,99,ID,1595985868,79,-0.91,122.88,78.28,8.5
Torbay,75,CA,1595985861,87,47.67,-52.73,55.99,2.93
Rio Grande,0,BR,1595985590,94,-32.03,-52.1,39.99,11.27
Port Lincoln,46,AU,1595985861,73,-34.73,135.87,58.93,10.94
Sisophon,14,KH,1595986079,74,13.59,102.97,82.09,4.29
Deep River,1,CA,1595986079,53,46.1,-77.5,71.6,5.32
Cururupu,4,BR,1595985862,90,-1.83,-44.87,74.05,3.09
Qasigiannguit,48,GL,1595986079,81,68.82,-51.19,42.8,4.7
Methóni,0,GR,1595986079,77,36.82,21.7,78.01,4.7
Chumikan,0,RU,1595986079,59,54.72,135.31,79.59,18.57
Tsimmerbude,15,RU,1595986079,88,54.67,20.13,62.6,11.18
Hofn,0,IS,1595985856,81,64.25,-15.21,50.99,5.57
Wanlaweyn,48,SO,1595986079,86,2.62,44.89,74.64,11.9
Vīraganūr,100,IN,1595986079,77,11.48,78.73,79.52,6.29
Lufilufi,41,WS,1595986079,94,-13.87,-171.6,78.01,5.99
Brawley,1,US,1595986079,7,32.98,-115.53,113.0,5.82
Soyo,8,AO,1595985893,86,-6.13,12.37,71.74,6.71
Ojinaga,1,MX,1595986079,23,29.57,-104.42,96.8,4.7
Terney,0,RU,1595986079,68,45.05,136.61,75.02,7.2
Kulhudhuffushi,100,MV,1595985893,80,6.62,73.07,81.0,17.34
Kindersley,40,CA,1595986080,42,51.47,-109.17,82.4,11.41
Kieta,73,PG,1595986080,61,-6.22,155.63,86.2,3.18
Ahipara,100,NZ,1595985783,68,-35.17,173.17,59.22,11.56
São Filipe,99,CV,1595985873,84,14.9,-24.5,77.18,4.85
Mirandela,0,PT,1595986080,55,41.49,-7.19,63.0,3.51
Viedma,0,AR,1595985873,70,-40.81,-63.0,39.6,4.68
Nioro,100,GM,1595986050,94,13.35,-15.75,75.87,5.19
Pangody,100,RU,1595986080,89,65.85,74.49,50.09,10.25
Pitimbu,75,BR,1595985875,88,-7.47,-34.81,73.4,5.82
Bousso,64,TD,1595986080,92,10.48,16.71,73.54,3.98
Nanortalik,83,GL,1595985875,94,60.14,-45.24,46.69,10.07
Bugiri,100,UG,1595986080,80,0.57,33.74,66.69,3.83
Severo-Kuril'sk,55,RU,1595985870,80,50.68,156.12,53.82,17.76
Zarubino,100,RU,1595986080,97,42.63,131.09,65.98,5.61
Ōfunato,75,JP,1595986080,78,39.07,141.72,73.4,2.24
Aksu,0,CN,1595986080,26,41.12,80.26,79.14,5.08
Nioki,23,CD,1595986081,55,-2.72,17.68,78.42,2.26
Morón,0,AR,1595986081,69,-34.65,-58.62,46.0,2.24
Lavrentiya,54,RU,1595986028,73,65.58,-171.0,47.98,6.67
Cairns,0,AU,1595986081,25,-16.92,145.77,75.2,13.87
Port Blair,100,IN,1595986007,77,11.67,92.75,83.73,16.13
Daru,86,PG,1595986017,86,-9.08,143.21,78.46,17.49
Abong Mbang,100,CM,1595986069,98,3.98,13.18,65.97,3.8
Byron Bay,0,AU,1595985602,59,-28.65,153.62,64.99,12.75
Portland,20,US,1595985676,29,45.52,-122.68,89.01,8.05
Belmonte,5,BR,1595985862,83,-15.86,-38.88,69.8,2.24
Terrace Bay,97,CA,1595986081,90,48.78,-87.1,59.29,4.54
Biltine,93,TD,1595986081,69,14.53,20.92,80.46,14.12
Luanda,100,AO,1595985912,88,-8.84,13.23,69.8,5.82
Otane,52,NZ,1595986081,67,-39.88,176.63,59.0,2.26
Beringovskiy,20,RU,1595985885,59,63.05,179.32,62.33,9.93
Kimbe,8,PG,1595986081,60,-5.55,150.14,88.52,3.15
Jacareacanga,0,BR,1595986013,52,-6.22,-57.75,75.78,1.57
Nadym,100,RU,1595986082,84,65.53,72.52,49.37,9.86
Grand Gaube,1,MU,1595985886,85,-20.01,57.66,66.0,1.99
Bull Savanna,6,JM,1595986082,87,17.89,-77.59,78.66,7.99
Santa Luzia,0,BR,1595986082,60,-19.77,-43.85,68.0,2.24
Lipno,80,PL,1595986082,92,52.84,19.18,62.85,5.53
Kardailovo,0,RU,1595986082,67,51.54,53.9,61.05,2.93
Batagay,1,RU,1595986082,46,67.63,134.63,55.58,7.52
Cidreira,67,BR,1595985859,73,-30.18,-50.21,47.53,11.83
Mersing,40,MY,1595986082,94,2.43,103.84,77.0,4.7
Oranjemund,6,NA,1595986026,89,-28.55,16.43,53.94,10.87
Yerbogachën,99,RU,1595986082,85,61.28,108.01,56.79,8.63
Cartagena,0,CO,1595986082,83,10.4,-75.51,81.23,14.45
Lorengau,0,PG,1595985886,64,-2.02,147.27,85.89,9.22
Jingdezhen,100,CN,1595986082,86,29.29,117.21,82.02,3.47
Philadelphia,75,US,1595986047,48,39.95,-75.16,88.0,9.17
Kaélé,89,CM,1595986082,84,10.11,14.45,74.5,5.68
Biloela,0,AU,1595986083,52,-24.42,150.5,64.31,13.47
Sunrise Manor,1,US,1595986083,6,36.21,-115.07,109.4,14.99
West Bay,20,KY,1595986030,74,19.37,-81.42,86.0,11.41
Richards Bay,0,ZA,1595986028,86,-28.78,32.04,57.96,7.05
Necochea,0,AR,1595986033,96,-38.55,-58.74,36.0,1.99
Salekhard,16,RU,1595986083,67,66.53,66.6,51.66,8.68
Pimentel,2,PE,1595986042,87,-6.84,-79.93,59.41,10.69
Assiniboia,63,CA,1595986083,29,49.63,-105.98,85.35,7.74
Vangaindrano,80,MG,1595986032,83,-23.35,47.6,63.68,2.24
Ambon City,40,ID,1595986048,74,-3.7,128.18,82.4,9.17
General Roca,0,AR,1595986083,62,-39.03,-67.58,39.2,6.15
